Stock#,Serial,Status,MY,Model Line,Model Code,Description,Trans,Ext,Int,MSRP,Inv,Location,DIS,ETA,Production Month
N15176,011468,Deal Opened,2026,QX80,83116,QX80 PURE 2WD,AUTO,QBE,C,"87,700","84,244",DLR-INV,49,06/01/2026,2026-03
N15174,011420,Deal Opened,2026,QX80,83316,QX80 LUXE 2WD,AUTO,QBE,G,"95,380","91,591",DLR-INV,49,06/01/2026,2026-03
Q26029,430938,Deal Opened,2026,QX80,83816,QX80 SPORT 4WD,AUTO,KCN,D,"106,320","102,054",DLR-INV,161,09/19/2025,2025-07
N15134,435346,Deal Opened,2026,QX80,83816,QX80 SPORT 4WD,AUTO,XLF,D,"107,320","103,004",DLR-INV,82,04/29/2026,2026-02
N15104,623735,Deal Opened,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XLF,G,"115,385","110,725",DLR-INV,102,04/06/2026,2026-02
N15106BODY,623758,Deal Opened,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XLF,A,"115,385","110,725",DLR-INV,102,04/06/2026,2026-02
T623781I,623781,,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XLF,A,"116,655","111,879",DLR-INV,79,03/25/2026,2026-02
N15164,624284,Deal Opened,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XKD,G,"116,655","111,879",DLR-INV,54,05/26/2026,2026-03
,624273,,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XKD,A,"116,655","111,879",DLR-INV,54,05/26/2026,2026-03
,624317,,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XLF,A,"116,655","111,879",DLR-INV,49,06/01/2026,2026-03
N15126REED,621431,,2026,QX80,83616,QX80 AUTO 4WD,AUTO,GAT,A,"116,715","111,894",DLR-INV,83,11/17/2025,2025-08
,624328,,2026,QX80,83616,QX80 AUTO 4WD,AUTO,XKJ,A,"116,860","112,073",DLR-INV,49,06/01/2026,2026-03
N15145HOLL,331601,Deal Opened,2027,QX60,84117,QX60 PURE FWD,AUTO,KAD,G,"54,140","51,482",DLR-INV,69,05/01/2026,2026-04
,339488,,2027,QX60,84117,QX60 PURE FWD,AUTO,QBE,K,"55,040","52,871",DLR-INV,15,07/03/2026,2026-06
,340013,,2027,QX60,84117,QX60 PURE FWD,AUTO,QBE,K,"55,040","52,871",DLR-INV,15,07/03/2026,2026-06
,337510,,2027,QX60,84317,QX60 LUXE FWD,AUTO,KAD,K,"59,540","57,191",DLR-INV,38,06/09/2026,2026-06
N15139,334069,Deal Opened,2027,QX60,84317,QX60 LUXE FWD,AUTO,GAT,G,"60,235","57,859",DLR-INV,72,05/06/2026,2026-05
,334330,,2027,QX60,84317,QX60 LUXE FWD,AUTO,GAT,K,"60,235","57,859",DLR-INV,51,05/29/2026,2026-05
,337912,,2027,QX60,84317,QX60 LUXE FWD,AUTO,KBY,G,"60,235","57,859",DLR-INV,31,06/17/2026,2026-06
,RD72318,,2027,QX60,84317,QX60 LUXE FWD,AUTO,GAT,K,"60,235","57,273",ONS,0,Month of August,2026-07
,333980,,2027,QX60,84317,QX60 LUXE FWD,AUTO,QBE,G,"60,440","58,055",DLR-INV,72,05/06/2026,2026-05
,338337,,2027,QX60,84317,QX60 LUXE FWD,AUTO,QBE,K,"60,440","58,055",DLR-INV,25,06/23/2026,2026-06
,336025,,2027,QX60,84317,QX60 LUXE FWD,AUTO,QBE,K,"60,440","58,055",DLR-INV,41,06/08/2026,2026-05
,340810,,2027,QX60,84317,QX60 LUXE FWD,AUTO,QBE,G,"60,440","57,467",SIT,0,Week of 07/30/2026,2026-07
,337931,,2027,QX60,84217,QX60 LUXE AWD,AUTO,GAT,G,"62,335","59,875",DLR-INV,36,06/15/2026,2026-06
