Sales Month,Stock#,Model,VIN,DAYS TO SELL,MODEL CODE,EXT CODE,INT CODE
202501,N14696,QX50 2.0T AWD PUR,3PCAJ5AB2SF104864,43,8101,BW5,G
202502,N14630,QX50 2.0T AWD PUR,3PCAJ5AB2SF102662,134,8101,KAD,G
202509,N14850,QX50 2.0T AWD PUR,3PCAJ5AB9SF108653,203,8101,KH3,G
202503,N14649,QX50 2.0T AWD PUR,3PCAJ5AB9SF104067,133,8101,QM1,G
202503,N14620,QX50 2.0T AWD PUR,3PCAJ5AB9SF102402,161,8101,QM1,G
202507,N14711,QX50 2.0T AWD LUXE,3PCAJ5BB8SF104348,213,8111,BW5,G
202502,N14743,QX50 2.0T AWD LUX,3PCAJ5BB5SF106588,51,8111,KAD,G
202505,,QX50 2.0T AWD SPORT,3PCAJ5FB0SF104435,166,8111,KAD,G
202506,N14742,QX50 2.0T AWD LUXE,3PCAJ5BB6SF106857,178,8111,KAD,G
202505,N14671,QX50 2.0T AWD LUXE,3PCAJ5BB6SF105711,177,8111,KAD,W
202508,N14869,QX50 2.0T AWD LUXE,3PCAJ5BB4SF110518,129,8111,KBZ,G
202412,N14726,QX50 2.0T AWD LUX,3PCAJ5BB8SF106598,12,8111,KBZ,W
202507,N14825,QX50 2.0T AWD SPORT,3PCAJ5FBXSF108816,132,8111,KH3,A
202501,N14739,QX50 2.0T AWD LUX,3PCAJ5BB6SF106695,42,8111,KH3,G
202503,N14725,QX50 2.0T AWD SPORT,3PCAJ5FB4SF106625,96,8111,KH3,G
202507,N14709,QX50 2.0T AWD LUXE,3PCAJ5BB5SF106199,221,8111,KH3,G
202507,N14712,QX50 2.0T AWD LUXE,3PCAJ5BB6SF106261,221,8111,KH3,G
202503,N14695,QX50 2.0T AWD LUXE,3PCAJ5BB5SF105442,90,8111,QBE,G
202505,N14781,QX50 2.0T AWD LUXE,3PCAJ5BB0SF107373,113,8111,QBE,G
202502,N14727,QX50 2.0T AWD LUXE,3PCAJ5BB3SF106492,49,8111,QBE,W
202501,N14673,QX50 2.0T AWD LUXE,3PCAJ5BB0SF105378,58,8111,QM1,G
202510,N14948,QX50 2.0T AWD SPORT,3PCAJ5FBXSF109643,DT,8121,KH3,G
202504,N14697,QX50 2.0T AWD SPORT,3PCAJ5FB0SF105293,119,8121,QBE,A
202504,N14849,QX50 2.0T AWD SPORT,3PCAJ5FB5SF108786,26,8121,QBE,G
202410,N14456,QX50 2.0T FWD SPO,3PCAJ5FA0RF102301,223,8131,KAD,A
202412,N14525,QX50 2.0T FWD LUX,3PCAJ5BA8RF112029,151,8131,KAD,W
202412,N14523,QX50 2.0T FWD LUX,3PCAJ5BA8RF109146,175,8131,KAD,W
202412,N14509,QX50 2.0T FWD LUX,3PCAJ5BA7RF106495,201,8131,KAD,W
202412,N14506,QX50 2.0T FWD LUX,3PCAJ5BA1RF106413,207,8131,KAD,W
202412,N14492,QX50 2.0T FWD LUX,3PCAJ5BA0RF111814,236,8131,KAD,W
202501,N14520,QX50 2.0T FWD LUX,3PCAJ5BA2RF114102,193,8131,KBZ,G
202409,N14491,QX50 2.0T FWD LUX,3PCAJ5BA9RF111889,143,8131,KH3,W
202411,N14519,QX50 2.0T FWD LUX,3PCAJ5BA5RF111968,147,8131,KH3,W
202412,N14527,QX50 2.0T FWD LUX,3PCAJ5BA2RF107148,154,8131,KH3,W
202412,N14578,QX50 2.0T FWD LUX,3PCAJ5BAXRF105227,134,8131,QBE,W
202410,N14512,QX50 2.0T FWD LUX,3PCAJ5BA1RF106850,140,8131,QBE,W
202410,N14498,QX50 2.0T FWD LUX,3PCAJ5BA6RF111736,171,8131,QBE,W
202410,N14490,QX50 2.0T FWD LUX,3PCAJ5BAXRF105275,178,8131,QBE,W
202409,N14455,QX50 2.0T FWD LUX,3PCAJ5BA1RF106363,202,8131,QBE,W
202411,N14493,QX50 2.0T FWD LUX,3PCAJ5BAXRF111870,222,8131,QBE,W
202410,N14453,QX50 2.0T FWD LUX,3PCAJ5BA8RF106859,232,8131,QBE,W
202410,N14437,QX50 2.0T FWD LUX,3PCAJ5BA2RF107179,247,8131,QBE,W
202411,N14466,QX50 2.0T FWD LUX,3PCAJ5BA9RF105252,255,8131,QBE,W
202409,N14559,QX50 2.0T AWD SPORT,3PCAJ5FA7RF110704,49,8151,QBE,G
202412,N14650,QX55 2.0T AWD LUX,3PCAJ5JR2SF103453,45,8201,KBZ,G
202504,N14815,QX55 2.0T AWD LUX,3PCAJ5JR4SF106564,61,8201,KBZ,G
202506,N14867,QX55 2.0T AWD LUXE,3PCAJ5JR9SF110271,82,8201,KBZ,G
202504,N14822,QX55 2.0T AWD LUX,3PCAJ5JR3SF108533,53,8201,KH3,G
202411,N14570,QX55 2.0T AWD LUX,3PCAJ5JRXSF100896,217,8201,KH3,G
202502,N14672,QX55 2.0T AWD LUX,3PCAJ5JR4SF105575,72,8201,KH3,K
202501,N14642,QX55 2.0T AWD LUX,3PCAJ5JR1SF104030,86,8201,QBE,G
202503,N14710,QX55 2.0T AWD SEN,3PCAJ5LR2SF104941,136,8211,BW5,K
202502,N14571,QX55 2.0T AWD ESS,3PCAJ5KR2SF101023,190,8211,KH3,K
202412,N14643,QX55 2.0T AWD SEN,3PCAJ5LR5SF104481,40,8211,QBE,A
202504,N14641,QX55 2.0T AWD ESSN,3PCAJ5KRXSF104560,162,8211,QBE,G
202502,N14793,QX80 PURE 4WD,JN8AZ3AB4S9405258,5,8301,KAV,G
202501,N14730,QX80 PURE 2WD,JN8AZ3AA4S9001111,29,8311,KAV,C
202505,N14706,QX80 PURE 2WD,JN8AZ3AA4S9000976,173,8311,KAV,C
202601,,QX80 PURE 2WD,JN8AZ3AA9T9010159,100,8311,KAV,G
202601,,QX80 PURE 2WD,JN8AZ3AA9T9010355,24,8311,KCN,C
202606,,QX80 PURE 2WD,JN8AZ3AA7T9010631,DT,8311,KCN,C
202602,,QX80 PURE 2WD,JN8AZ3AA4T9010456,21,8311,KCN,G
202605,,QX80 PURE 2WD,JN8AZ3AA4T9011333,14,8311,KH3,C
202411,N14632,QX80 PURE 2WD,JN8AZ3AA2S9000118,20,8311,KH3,C
202604,,QX80 PURE 2WD,JN8AZ3AA9T9010646,26,8311,KH3,C
202502,N14729,QX80 PURE 2WD,JN8AZ3AA4S9001061,68,8311,KH3,C
202505,,QX80 PURE 2WD,JN8AZ3AA5S9001487,81,8311,KH3,G
202504,N14767,QX80 PURE 2WD,JN8AZ3AA7S9001197,83,8311,KH3,G
202410,N14612,QX80 PURE 2WD,JN8AZ3AA6S9000607,2,8311,QBE,C
202511,,QX80 PURE 2WD,JN8AZ3AA7T9010029,3,8311,QBE,C
202511,,QX80 PURE 2WD,JN8AZ3AA8T9010234,4,8311,QBE,C
202604,,QX80 PURE 2WD,JN8AZ3AA9T9010386,18,8311,QBE,C
202602,,QX80 PURE 2WD,JN8AZ3AA3T9010383,41,8311,QBE,C
202505,,QX80 PURE 2WD,JN8AZ3AA2S9001334,71,8311,QBE,C
202412,N14615,QX80 PURE 2WD,JN8AZ3AA9S9000407,73,8311,QBE,C
202509,,QX80 PURE 2WD,JN8AZ3AA2T9010018,33,8311,QBE,G
202504,N14833,QX80 PURE 2WD,JN8AZ3AA4S9001562,42,8311,QBE,G
202507,N14883,QX80 PURE 2WD,JN8AZ3AA3S9001875,DT,8311,QBE,G
202507,N14884,QX80 PURE 2WD,JN8AZ3AA3S9001696,DT,8311,QBE,G
202508,N14893,QX80 PURE 2WD,JN8AZ3AAXS9001713,DT,8311,QBE,G
202409,N14584,QX80 LUXE 4WD,JN8AZ3BB7S9401140,4,8321,KH3,P
202503,N14792,QX80 LUXE 4WD,JN8AZ3BB8S9405259,40,8321,KH3,P
202502,N14668,QX80 LUXE 4WD,JN8AZ3BB0S9402176,87,8321,KH3,P
202512,,QX80 LUXE 4WD,JN8AZ3BE6T9720394,DT,8321,RCJ,P
202504,N14744,QX80 LUXE 2WD ,JN8AZ3BA7S9000453,96,8331,KAV,G
202410,N14631,QX80 LUXE 2WD,JN8AZ3BA1S9000934,2,8331,KAV,P
202503,N14734,QX80 LUXE 2WD,JN8AZ3BA5S9000581,71,8331,KAV,P
202603,,QX80 LUXE 2WD,JN8AZ3BA6T9010568,7,8331,KCN,G
202604,,QX80 LUXE 2WD,JN8AZ3BA0T9010842,8,8331,KCN,P
202605,,QX80 LUXE 2WD,JN8AZ3BA2T9011085,DT,8331,KCN,P
202412,N14669,QX80 LUXE 2WD,JN8AZ3BA8S9000445,35,8331,KH3,G
202504,N14818,QX80 LUXE 2WD ,JN8AZ3BA5S9001343,50,8331,KH3,G
202502,N14666,QX80 LUXE 2WD,JN8AZ3BA7S9000145,83,8331,KH3,G
202503,N14681,QX80 LUXE 2WD,JN8AZ3BAXS9000947,92,8331,KH3,G
202508,N14745,QX80 LUXE 2WD,JN8AZ3BA5S9000256,219,8331,KH3,G
202507,N14667,QX80 LUXE 2WD,JN8AZ3BA6S9000072,221,8331,KH3,G
202504,N14870,QX80 LUXE 2WD ,JN8AZ3BD6S9200217,DNQ,8331,KH3,G
202512,,QX80 LUXE RWD,JN8AZ3BA1T9010350,1,8331,KH3,P
202412,X9229,QX80 LUXE 2WD,JN8AZ3BA3S9001082,7,8331,KH3,P
202502,N14759,QX80 LUXE 2WD,JN8AZ3BA1S9000707,21,8331,KH3,P
202504,N14841,QX80 LUXE 2WD ,JN8AZ3BA1S9001503,35,8331,KH3,P
202412,N14602,QX80 LUXE 2WD,JN8AZ3BD6S9200122,94,8331,KH3,P
202507,N14885,QX80 LUXE 2WD,JN8AZ3BA4S9000281,DT,8331,KH3,P
202602,,QX80 LUXE 2WD,JN8AZ3BA2T9010048,DT,8331,KH3,P
202509,N14907,QX80 LUXE 2WD,JN8AZ3BA8T9010054,15,8331,QBE,G
202511,,QX80 LUXE 2WD,JN8AZ3BA2T9010261,4,8331,QBE,P
202604,,QX80 LUXE 2WD,JN8AZ3BA5T9010996,8,8331,QBE,P
202409,N14598,QX80 LUXE 2WD,JN8AZ3BA0S9000066,9,8331,QBE,P
202606,,QX80 LUXE 2WD,JN8AZ3BA4T9011377,13,8331,QBE,P
202606,,QX80 LUXE 2WD,JN8AZ3BA7T9011387,25,8331,QBE,P
202503,N14820,QX80 LUXE 2WD,JN8AZ3VA6S9001383,29,8331,QBE,P
202512,,QX80 LUXE RWD,JN8AZ3BA7T9010319,30,8331,QBE,P
202502,N14758,QX80 LUXE 2WD,JN8AZ3BA4S9000846,36,8331,QBE,P
202412,N14634,QX80 LUXE 2WD,JN8AZ3BA6S9000279,47,8331,QBE,P
202504,,QX80 LUXE 2WD,JN8AZ3BA9S9001488,52,8331,QBE,P
202504,,QX80 LUXE 2WD,JN8AZ3BA1S9001484,55,8331,QBE,P
202504,N14633,QX80 LUXE 2WD,JN8AZ3BAXS9000933,157,8331,QBE,P
202602,,QX80 LUXE 2WD,JN8AZ3BA5T9010495,DT,8331,QBE,P
202602,,QX80 LUXE 2WD,JN8AZ3BA5T9010495,DT,8331,QBE,P
202502,N14794,QX80 SENSORY 4WD,JN8AZ3DBXS9401422,10,8341,GAT,G
202510,N14857,QX80 SENSORY 4WD,JN8AZ3DB5S9405667,198,8341,GAT,P
202409,N14585,QX80 SENSORY 4WD,JN8AZ3DB0S9401333,19,8341,KCN,G
202507,N14708,QX80 SENSORY 4WD,JN8AZ3DB8S9402858,207,8341,KCN,G
202510,N14753,QX80 SENSORY 4WD,JN8AZ3DB5S9400372,277,8341,KCN,G
202410,N14611,QX80 SENSORY 4WD,JN8AZ3DB6S9400266,1,8341,KCN,P
202508,N14872,QX80 SENSORY 4WD,JN8AZ3DB2S9402399,40,8341,KCN,P
202509,N14768,QX80 SENSORY 4WD,JN8AZ3DBXS9402084,242,8341,QBE,G
202501,N14731,QX80 SENSORY 4WD,JN8AZ3DB0S9401896,31,8341,QBE,P
202505,N14752,QX80 SENSORY 4WD,JN8AZ3DB8S9401838,148,8341,QBE,P
202507,N14757,QX80 SENSORY 4WD,JN8AZ3DB6S9404513,180,8341,QBE,P
202512,,QX80 AUTOGRAPH,JN8AZ3CC4T9621344,9,8361,GAT,A
202501,N14765,QX80 AUTOGRAPH,JN8AZ3CC3S9603545,10,8361,GAT,A
202510,,QX80 AUTOGRAPH,JN8AZ3CC0T9621017,45,8361,GAT,A
202503,N14766,QX80 AUTOGRAPH,JN8AZ3CC7S9603564,60,8361,GAT,A
202604,,QX80 AUTOGRAPH,JN8AZ3CC5T9621000,59,8361,GAT,G
202604,,QX80 AUTOGRAPH,JN8AZ3CC3T9623263,DT,8361,GAT,G
202601,,QX80 AUTOGRAPH,JN8AZ3CC2T9622511,DT,8361,QBE,G
202503,N14670,QX80 AUTOGRAPH,JN8AZ3CC9S9600391,114,8361,XHQ,G
202509,N14901,QX80 AUTOGRAPH,JN8AZ3CC7T9620804,9,8361,XKD,A
202602,,QX80 AUTOGRAPH,JN8AZ3CC3T9622680,36,8361,XKD,A
202412,N14646,QX80 AUTOGRAPH,JN8AZ3CC6S9600266,47,8361,XKD,A
202505,,QX80 AUTOGRAPH,JN8AZ3CC3S9603738,98,8361,XKD,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC3T9622159,20,8361,XKD,G
202411,N14603,QX80 AUTOGRAPH,JN8AZ3CC5S9601456,45,8361,XKD,G
202605,,QX80 AUTOGRAPH,JN8AZ3CCXT9623504,47,8361,XKD,G
202503,N14864,QX80 AUTOGRAPH,JN8AZ3CC9S9604537,3,8361,XKJ,A
202509,,QX80 AUTOGRAPH,JN8AZ3CC1T9620426,7,8361,XKJ,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC4T9621778,9,8361,XKJ,A
202410,N14614,QX80 AUTOGRAPH,JN8AZ3CC1S9601518,10,8361,XKJ,A
202601,,QX80 AUTOGRAPH,JN8AZ3CC5T9622552,12,8361,XKJ,A
202606,,QX80 AUTOGRAPH,JN8AZ3CC4T9624356,18,8361,XKJ,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC2T9620659,20,8361,XKJ,A
202604,,QX80 AUTOGRAPH,JN8AZ3CC7T9623797,23,8361,XKJ,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC1T9621656,26,8361,XKJ,A
202604,,QX80 AUTOGRAPH,JN8AZ3CC8T9621105,64,8361,XKJ,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC8T9621704,DT,8361,XKJ,A
202409,N14599,QX80 AUTOGRAPH,JN8AZ3CC0S9600666,6,8361,XKJ,G
202512,,QX80 AUTOGRAPH,JN8AZ3CC4T9621831,9,8361,XKJ,G
202604,,QX80 AUTOGRAPH,JN8AZ3CC0T9623320,15,8361,XKJ,G
202509,N14906,QX80 AUTOGRAPH,JN8AZ3CC5T9620476,17,8361,XKJ,G
202606,,QX80 AUTOGRAPH,JN8AZ3CC4T9624308,18,8361,XKJ,G
202510,,QX80 AUTOGRAPH,JN8AZ3CC0T9620627,DT,8361,XKJ,G
202409,N14595,QX80 AUTOGRAPH,JN8AZ3CC5S9601487,4,8361,XLF,A
202410,N14610,QX80 AUTOGRAPH,JN8AZ3CC5S9600372,11,8361,XLF,A
202507,N14877,QX80 AUTOGRAPH,JN8AZ3CC6S9604642,16,8361,XLF,A
202601,,QX80 AUTOGRAPH,JN8AZ3CC7T9622603,22,8361,XLF,A
202512,,QX80 AUTOGRAPH,JN8AZ3CC9T9621694,27,8361,XLF,A
202603,,QX80 AUTOGRAPH,JN8AZ3CC2T9622539,46,8361,XLF,A
202504,N14871,QX80 AUTOGRAPH,JN8AZ3CC9S9603968,DNQ,8361,XLF,A
202601,,QX80 AUTOGRAPH,JN8AZ3CC6T9621099,DT,8361,XLF,A
202409,N14601,QX80 AUTOGRAPH,JN8AZ3CC8S9601466,1,8361,XLF,G
202503,N14832,QX80 AUTOGRAPH,JN8AZ3CC4S9604252,3,8361,XLF,G
202412,N14732,QX80 AUTOGRAPH,JN8AZ3CC9S9602898,10,8361,XLF,G
202512,,QX80 AUTOGRAPH,JN8AZ3CCXT9622028,24,8361,XLF,G
202512,,QX80 SPORT,JN8AZ3DB6T9432488,20,8381,GAT,D
202603,,QX80 SPORT,JN8AZ3DB3T9433761,55,8381,GAT,D
202604,,QX80 SPORT,JN8AZ3DB6T9430501,71,8381,GAT,D
202512,,QX80 SPORT,JN8AZ3DB6T9430756,77,8381,GAT,D
202601,,QX80 SPORT,JN8AZ3DB4T9432229,40,8381,KCN,D
202603,,QX80 SPORT,JN8AZ3DB8T9431536,55,8381,KCN,D
202509,,QX80 SPORT 4WD,JN8AZ3DBXT9430713,56,8381,KCN,D
202604,,QX80 SPORT,JN8AZ3DB8T9430774,80,8381,KCN,G
202601,,QX80 SPORT,JN8AZ3DB2T9433301,28,8381,XKJ,D
202604,,QX80 SPORT,JN8AZ3DB7T9432807,56,8381,XKJ,D
